Country,seller_name,address,phone_No,join_date,rating,information,seller_id,seller_url,seller_image_url,collection_by_User
USA,18th-Century Women Writers,"Jersey City, NJ, U.S.A.",,21:12:2022,4,"A collection of works by 18th-century women writers, in English and French, some in the original, some translated.

See our catalogue: https://express.adobe.com/page/hFlu1ImchfkXu/",85543529,https://www.abebooks.com/18th-century-women-writers-jersey-city-nj/85543529/sf,https://pictures.abebooks.com/storefront/85543529/VendorStoreFront.jpg,{}
USA,11th Street Collectibles,"Cumming, GA, U.S.A.",,02:09:2019,5,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",71880772,https://www.abebooks.com/11th-street-collectibles-cumming-ga-u.s.a/71880772/sf,,{}
USA,"12th Street Books, ABAA","1315 Broadmoor DriveAustin, TX, U.S.A.
          78723", +1 512-499-8828,22:10:1998,5,12th Street Books is relocating to another site but is still operating from temporary quarters until further notice.,92993,https://www.abebooks.com/12th-street-books%2c-abaa-austin-tx/92993/sf,https://pictures.abebooks.com/storefront/92993/VendorStoreFront.jpg,{}
USA,100POCKETS,"Berkeley, CA, U.S.A.",,07:03:2000,5,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",390820,https://www.abebooks.com/100pockets-berkeley-ca-u.s.a/390820/sf,,"{'Addresses_100POCKETS': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2O2CabdSlokaKvtUMiTKhU.png', 'Adoption_100POCKETS': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/7gScWJZGVmPrPVzaxZLbV.png', 'Advance Reading Copy_100POCKETS': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/6tHqpiQLYwH20RiCJAtjfS.png', 'Adventure_100POCKETS': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3twTMlZbNa70dQzWUjJeTY.png', 'Adventure, Expeditions_100POCKETS': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3qEfaJmPofXBFmd3fQqbWV.png', 'Advice_100POCKETS': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/4ofgAlrOSzRZMQnvyj0SdI.png'}"
USA,13th Story Books,"Yarmouth Port, MA, U.S.A.",,03:06:2013,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",1575358,https://www.abebooks.com/13th-story-books-yarmouth-port-ma/1575358/sf,,{}
AUS,Banfield House Booksellers,"PO Box 1047Gympie, QLD, Australia
          4570", +61 07 5482 1214,26:07:2004,5,"Diversity of book subjects in 100 catalogs arose early in Barry Long's 65 years of book collecting. Now the owner of Banfield House Booksellers,he stocks books ranging from 16th century volumes bound in early vellum to 21st century softcovers.
Barry was awarded the Public Service Medal by the Governor General of Australia in the Australia Day Honours list of 26th January 1998. He was awarded the Centenary of Australian Federation Medal by the Prime Minister of Australia in 2003.  

",5680850,https://www.abebooks.com/banfield-house-booksellers-gympie/5680850/sf,https://pictures.abebooks.com/storefront/5680850/VendorStoreFront.jpg,"{'Aboriginal_Banfield House Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/25vGCpKuJikgLzqFhZGbrz.png', 'Aboriginal Art_Banfield House Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/EqnIVkgsclcoCWcKTIHU3.png', 'America_Banfield House Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/2H7w4siKWKFC40SOwB3fLU.png', 'Ancient History_Banfield House Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1aEqn8osuhhMZRhTKRLaJq.png', 'Archaeology_Banfield House Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/452jQGzzoUrxItuQliY9uI.png', 'Architecture_Banfield House Booksellers': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3s2fDSf8hCGtPPJfRyzBF3.png'}"
AUS,Book Merchant Bookstore,"14 Clare RowCollege Grove
          
          Bunbury, WA, Australia
          6230", +61 0417 900 145,14:03:2023,4,"The Book Merchant Bookstore specialises in all Australian and Western Australian history books. We sell both secondhand and some new books by local authors. You will find my prices very competitive with prices even lower on my secure website https://bookmerchant.com.au. If I don't sell the book/s you want, let us know, as a professional librarian Miriam is a natural book hunter. Please enjoy browsing through our books. ",71248150,https://www.abebooks.com/book-merchant-bookstore-bunbury/71248150/sf,https://pictures.abebooks.com/storefront/71248150/VendorStoreFront.jpg,"{'Antarctica_Book Merchant Bookstore': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/59XYmpVnhzxOrOuAxpCE5Z.png', 'Australia (NSW History)_Book Merchant Bookstore': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/3V1vgvPxIXe9TjHJjFE0wf.png', 'Australia (NT History)_Book Merchant Bookstore': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/e3d5ag3N1Y9zC5pcmFvVM.png', 'Australia (QLD History)_Book Merchant Bookstore': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/4B1b2AUIAYjYQEX6nO8cVO.png', 'Australia (SA History)_Book Merchant Bookstore': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1DJF2BAAyra9m9QUj0fiMM.png', 'Australia (TAS History)_Book Merchant Bookstore': 'https://d18d761r9motu7.cloudfront.net/cc-sprites/1h83Oup2e9FIAn2ijLDnY4.png'}"
AUS,AussieBookSeller,"Truganina, VIC, Australia",,22:06:2007,4,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",52402892,https://www.abebooks.com/aussiebookseller-truganina/52402892/sf,,{}
AUS,DACOBRA BOOKS,"20 Bellemarie DriveCastle Hill, NSW, Australia
          2154",,26:06:1997,4,"Mail order booksellers specialising in first editions of supernatural fiction, science fiction and mystery fiction.",10514,https://www.abebooks.com/dacobra-books-castle-hill/10514/sf,https://pictures.abebooks.com/storefront/10514/VendorStoreFront.jpg,{}
AUS,Colin Randall,"Cloncurry, QLD, Australia", +61 0408969424,25:02:2023,5,"AbeBooks' uniqueness is our network of independent booksellers who work with us to provide the most diverse selection of rare, used and out-of-print books on the Internet. It is these sellers, with their experience, commitment and love of the used and out-of-print book business who help all our buyers find that treasure they've been looking for.",61582312,https://www.abebooks.com/colin-randall-cloncurry/61582312/sf,,{}
